Wavelength (nm),Blank1,F564,F565,F576,F577,F570,F571,F600,F568,F569,F582,F603,F603b
748.5,-0.000415,0.001183,-0.001182,0.002152,0.001999,0.002873,0.00222,-0.002364,-0.000973,-0.0019,0.001549,0.001503,0.00105
748,-0.003056,-0.003836,-0.000574,-0.001354,-0.00177,0.001803,0.000101,-0.002554,0.003426,-0.000851,0.0033,0.002311,0.004966
747.5,-0.001208,0.000389,0.001761,0.002544,0.000412,0.001654,-0.000659,-0.001417,-0.000947,-0.000629,0.002566,0.002502,0.001278
747,0.000467,0.002242,-0.000802,0.001408,-0.001976,0.001275,0.000048,-0.001526,-0.000522,0.000452,-0.000917,0.00005,0.001478
746.5,0.003319,0.001649,0.003577,-0.000507,-0.002438,-0.001426,0.000544,-0.000538,0.001163,0.000911,0.001412,-0.002817,0.000902
746,0.002383,-0.001916,0.001864,0.001716,0.000907,0.001827,0.000481,-0.000469,0.003085,0.001374,0.001686,0.000189,0.000883
745.5,0.001276,0.001618,0.000854,0.00025,-0.000846,-0.002172,-0.00209,0.002858,-0.00167,-0.00143,0.000141,-0.00059,0.00094
745,-0.001838,-0.001059,0.000307,0.001464,0.000524,0.001323,0.0001,0.001132,-0.00186,-0.001607,0.00011,0.00105,0.000677
744.5,0.001564,0.000298,-0.00143,0.001943,-0.000366,-0.003862,-0.002707,0.000653,-0.001264,-0.002016,0.00286,0.003834,0.003631
744,0.000325,0.003799,0.002656,0.002893,0.004076,0.001913,0.001021,-0.001756,0.004361,0.00033,0.001696,0.003205,0.003839
743.5,-0.000601,-0.00181,-0.001544,-0.000263,-0.001159,-0.003799,-0.001269,0.000987,-0.001028,0.000011,0.000965,0.002052,0.003571
743,0.000955,0.000595,0.001408,0.001688,0.002033,0.002914,0.004378,0.000633,0.000936,-0.000558,0.001025,0.000589,0.000686
742.5,-0.001061,-0.001934,0.001368,0.00092,0.001321,0.000563,-0.001195,0.000767,-0.003675,-0.00228,0.002629,0.003716,0.002445
742,0.000265,0.001408,0.001498,0.003811,-0.001086,-0.0017,0.000439,0.000814,-0.0001,-0.002328,-0.000412,-0.001315,0.000093
741.5,-0.001974,-0.000157,-0.001808,0.000873,0.000655,0.001122,-0.001058,0.002863,0.000372,-0.000942,-0.002683,-0.001264,-0.000564
741,0.000231,-0.000685,0.001241,0.001397,-0.000773,0.000229,0.001326,0.002809,0.000612,-0.001652,0.00093,-0.000863,-0.001175
740.5,0.000506,0.00121,-0.000926,0.002133,-0.000314,0.002936,0.001983,0.001539,0.001467,0.001401,0.000853,0.001002,0.002072
740,-0.001454,0.002156,-0.001068,-0.000511,0.000168,0.000238,0.002048,-0.001229,-0.000904,-0.00119,-0.000741,-0.002178,-0.000042
739.5,0.001549,0.003883,0.005261,0.000693,-0.000733,-0.002048,-0.00019,0.000688,0.001008,-0.000041,0.000489,0.000115,-0.000358
739,0.002145,0.001152,0.001747,0.002093,0.00127,0.000244,0.000731,0.002225,-0.00005,0.001221,0.003336,0.002708,0.004055
738.5,-0.000002,-0.00074,-0.000068,-0.002036,-0.001626,0.002482,0.001721,-0.002154,0.001972,-0.002211,0.005335,0.001039,0.003781
738,-0.000199,0.000087,0.000667,-0.000205,-0.000641,-0.001121,0.001694,-0.002381,-0.000729,-0.000017,-0.001638,-0.000602,-0.000734
737.5,0.001638,0.002037,0.001641,0.001858,0.00248,-0.002923,-0.000264,-0.001816,-0.000038,-0.001315,0.00167,0.002067,0.002865
737,-0.001864,0.000375,-0.000072,-0.000261,0.002569,-0.000723,0.001743,0.001316,-0.000715,-0.002509,0.001019,0.001154,0.002175
736.5,-0.00078,-0.000306,0.000572,0.001024,0.001018,-0.001354,-0.000799,-0.002213,0.0026,0.001898,0.001552,0.000836,-0.000597
736,0.001979,0.002989,0.002138,0.000156,-0.001612,0.001428,-0.00151,0.00148,-0.001745,-0.002538,0.000937,0.001192,0.000972
735.5,0.001699,0.001424,0.002364,-0.001013,0.001624,0.001943,0.000978,-0.00029,-0.00053,0.001682,0.001154,0.001984,0.001281
735,0.001288,0.001683,-0.00048,-0.001339,-0.001596,-0.001123,0.001213,-0.002266,0.001752,0.001153,0.000515,-0.001797,-0.000979
734.5,-0.001039,-0.000076,-0.000116,-0.001157,-0.003808,-0.00175,0.001074,-0.000488,-0.00036,-0.00139,0.000113,0.000345,-0.000313
734,0.001944,0.003322,0.000889,0.000634,0.000747,-0.000569,-0.00079,-0.000663,0.000515,0.000506,0.001288,-0.000017,0.001427
733.5,-0.000015,0.000647,-0.000352,-0.001791,-0.000571,0.000316,-0.000904,0.003716,0.000928,-0.000927,0.000475,-0.001111,0.00134
733,-0.000277,-0.001463,-0.000666,0.002014,0.001842,-0.000299,0.000386,-0.000271,-0.002949,-0.003085,0.001668,0.001133,0.000977
732.5,0.000995,0.001808,0.003634,0.002035,-0.001612,0.001406,0.000716,0.001046,0.00122,-0.000536,0.001732,0.000676,0.003449
732,0.000662,0.002125,0.001823,0.002587,0.001123,-0.001157,-0.000772,0.000978,0.001872,0.002428,0.001322,-0.001197,0.000152
731.5,0.000296,0.001162,0.001096,0.001939,-0.000945,-0.000365,-0.000041,0.003445,0.00024,-0.00033,0.00084,0.000391,0.001924
731,0.002969,-0.000057,0.001298,0.000993,-0.001525,0.00034,0.000268,0.000693,-0.001278,-0.000651,0.001116,-0.00024,0.00326
730.5,0.000572,-0.000721,-0.000157,0.002609,0.000366,-0.000371,0.000703,-0.001992,0.000224,0.001299,0.003948,0.001065,0.003101
730,-0.000652,0.001403,0.001294,0.002152,-0.002278,0.000091,0.000816,0.000513,0.001051,-0.001599,-0.001235,-0.000754,0.000139
729.5,0.000947,0.001379,0.001837,0.002467,0.001372,0.002031,0.002337,0.000019,0.000136,-0.000822,0.001321,0.000818,0.001135
729,-0.00162,-0.001341,-0.001335,0.001028,0.001406,0.001096,0.002793,0.001494,-0.000173,0.00189,-0.000422,0.001925,0.001517
728.5,-0.001363,-0.000634,0.000412,0.001924,-0.000262,-0.001576,-0.000522,0.001888,-0.000251,-0.00115,0.000623,-0.000133,0.000117
728,0.0038,-0.000427,0.001629,0.001809,0.001047,-0.002304,0.000374,-0.001758,0.000051,-0.000688,-0.00082,-0.001585,0.001604
727.5,0.001171,0.000756,0.000098,0.000576,0.000097,0.000658,0.001954,0.000966,0.002027,0.001696,-0.000341,0.000829,0.002555
727,0.00101,0.000374,-0.000575,0.003805,0.001418,0.000451,0.002041,0.000151,0.001296,0.000903,-0.001739,-0.002104,0.001531
726.5,0.000698,0.000907,-0.000416,0.00259,0.001848,-0.000641,0.001608,0.000519,-0.00109,-0.000163,-0.000306,0.001759,0.000364
726,0.000979,0.003581,0.001853,0.003034,0.001844,-0.001171,-0.000248,0.001734,0.00021,-0.000752,0.002326,0.001725,0.002184
725.5,0.000477,0.000042,-0.000093,0.000536,-0.002729,-0.001332,0.000497,0.000163,0.003353,0.00132,0.000799,-0.000253,0.000455
725,0.003459,0.003187,0.003098,0.003712,0.002603,0.000647,0.001043,-0.001003,-0.000469,-0.000265,0.001371,-0.000064,0.001704
