Wavelength (nm),Blank1,F532,F533,F526,F527,F538,F539,F534,F535,F540,F541,F528,F529,F610,F611,F536,F537,F554,F555,F556,F557
702,-0.001003,-0.001105,-0.003733,0.000378,0.00227,-0.000761,-0.000399,0.00116,0.000212,-0.000256,-0.000463,-0.003101,0.003005,-0.000375,-0.001768,0.000587,-0.00016,-0.002157,0.000269,0.001558,0.029318
701.5,0.000825,0.000139,-0.003443,0.001313,0.002892,0.000172,-0.001355,-0.00001,0.001192,-0.001289,-0.000705,-0.000787,0.004787,-0.000293,-0.003926,0.001839,-0.000166,-0.001241,-0.000868,-0.00018,0.027476
701,-0.000839,-0.001363,-0.004773,-0.001891,-0.00077,-0.001481,-0.000468,0.000862,0.000862,-0.000136,0.000057,-0.002348,0.001665,-0.000205,-0.002162,0.000489,0.00241,-0.00174,0.000039,-0.000438,0.027591
700.5,-0.001098,-0.000896,-0.004785,-0.001355,0.000704,0.001364,-0.000745,0.000531,0.000163,0.000152,0.001282,-0.000024,0.00358,-0.002892,-0.00311,0.000008,-0.000628,-0.00136,0.000747,-0.000341,0.028429
700,0.000658,0.000201,-0.002792,0.000734,0.002012,-0.000376,-0.00079,-0.000551,0.000095,-0.00083,0.001525,-0.002887,0.002009,-0.000265,-0.002761,0.001365,0.000364,-0.002171,-0.000385,0.00186,0.029709
699.5,-0.000307,-0.000662,-0.004217,-0.000085,0.000859,-0.0013,-0.001286,0.000398,0.000268,-0.000956,0.000665,-0.002068,0.002287,-0.001871,-0.003149,-0.000656,-0.000238,-0.00172,0.000232,0.000696,0.028828
699,-0.001382,-0.00118,-0.004871,-0.000674,0.000718,-0.000202,-0.000404,0.001678,0.000536,-0.001384,0.000145,-0.001312,0.003415,-0.00029,-0.001565,0.000528,0.000066,-0.000493,0.000645,-0.000356,0.028616
698.5,-0.000762,-0.000535,-0.00475,-0.000604,0.000556,-0.000887,-0.000155,0.000494,0.000794,-0.000449,0.000889,-0.001209,0.003766,-0.001182,-0.003182,0.001804,0.001396,-0.001505,0.000174,0.00043,0.029043
698,-0.000348,-0.001438,-0.004321,-0.001333,0.000868,-0.000874,-0.000772,0.00028,-0.000999,0.000109,0.00052,-0.000485,0.004483,-0.000623,-0.002004,-0.000336,-0.000041,-0.001047,0.001453,-0.000318,0.028091
697.5,-0.000324,-0.000345,-0.003641,-0.000749,0.000065,0.000285,0.000022,-0.001103,0.000086,-0.000749,-0.000135,-0.002117,0.00266,-0.000017,-0.001152,-0.000032,0.00049,-0.00152,0.00114,0.000054,0.028527
697,-0.000085,-0.000286,-0.003819,-0.000036,0.00156,0.000511,-0.000525,0.000417,0.000014,-0.000479,-0.000508,0.0004,0.003228,-0.000554,-0.002803,0.001605,0.001161,-0.001463,0.000018,0.001139,0.02872
696.5,0.000186,-0.000774,-0.003164,0.000148,0.000472,0.000407,-0.000306,-0.000076,-0.000601,0.000737,0.001658,-0.000681,0.003817,-0.000238,-0.00271,0.000095,-0.001574,-0.00208,-0.000874,0.001353,0.028764
696,-0.000073,-0.000033,-0.003653,-0.000755,0.000358,0.000478,-0.00083,0.001727,0.000612,0.000393,0.001861,-0.001982,0.002924,-0.000377,-0.001348,-0.000237,0.000692,-0.001826,0.000995,0.001761,0.030906
695.5,0.000324,-0.000101,-0.003337,-0.000559,0.00111,-0.000959,-0.001812,-0.000397,-0.000578,-0.000215,0.00015,-0.002212,0.002345,0.000208,-0.001851,-0.000226,0.000155,-0.000264,-0.000393,-0.001852,0.027743
695,-0.000238,-0.000954,-0.004858,-0.001112,0.000581,0.000536,0.000316,-0.00009,0.000578,-0.000425,0.002506,-0.002512,0.001937,-0.000274,-0.001922,-0.000545,-0.002263,-0.000216,0.001009,0.000009,0.029102
694.5,0.000543,-0.000447,-0.002611,-0.000749,0.00091,0.001064,-0.00039,-0.000243,0.000799,-0.00104,0.00032,0.000156,0.003222,0.000122,-0.001423,0.00148,0.000358,-0.001576,-0.000872,-0.000456,0.028718
694,-0.000238,-0.000285,-0.004044,0.000409,0.001274,0.000865,-0.000459,0.001026,0.000438,-0.00076,0.001618,-0.001194,0.004259,0.000329,-0.001368,0.000496,0.000856,-0.001324,-0.000237,0.001056,0.028618
693.5,-0.000927,-0.001747,-0.003202,0.001182,0.001706,-0.00057,-0.001456,0.001301,-0.000289,-0.000505,0.000997,-0.000854,0.003987,-0.00111,-0.001884,-0.000378,0.00071,-0.000872,-0.000541,-0.000273,0.028488
693,0.00071,0.001012,-0.002619,-0.000149,0.000077,-0.000869,-0.001395,0.000203,-0.000477,-0.000367,0.000198,-0.001253,0.002476,-0.002034,-0.002082,0.001345,0.001366,-0.001496,0.000601,0.000213,0.028547
692.5,-0.002115,-0.002484,-0.005534,-0.001105,0.000189,0.000154,-0.000609,0.000141,-0.000602,-0.000491,-0.0006,-0.001478,0.004453,-0.000873,-0.00136,0.000476,-0.000236,-0.001456,0.000389,0.000735,0.029022
692,0.00098,-0.000841,-0.003884,0.000095,0.001399,0.000962,-0.000489,0.000927,0.000406,-0.0007,-0.000938,-0.000418,0.00209,-0.000794,-0.002022,-0.000797,0.000432,-0.002158,0.000647,-0.000221,0.02912
691.5,0.000405,0.000306,-0.00281,-0.00133,0.000205,0.000253,0.001948,0.000516,-0.00015,-0.000736,0.000822,-0.001871,0.003609,-0.001115,-0.002285,0.000601,0.000635,-0.000236,0.000548,-0.00226,0.028405
691,-0.00025,-0.000322,-0.004071,0.000136,0.002846,-0.001298,-0.002129,0.000484,0.000159,-0.000329,0.000365,0.000036,0.00255,0.000037,-0.001071,-0.001515,-0.001405,-0.00156,-0.000857,0.000612,0.030443
690.5,0.001124,-0.000666,-0.004218,0.000629,0.000603,-0.000939,-0.000855,0.000968,0.000933,-0.000998,0.00061,-0.001606,0.003569,-0.001201,-0.002479,0.001251,-0.000151,-0.00085,-0.000461,0.000269,0.028114
690,-0.001199,-0.001156,-0.003976,0.000198,0.001042,-0.000224,-0.001432,0.000564,-0.001019,-0.002281,-0.000746,-0.002722,0.003023,-0.000129,-0.000958,0.001255,0.002441,-0.001013,0.000053,0.002176,0.029506
689.5,-0.000703,-0.000628,-0.00354,-0.000343,0.000945,-0.000188,-0.001096,0.000276,0.001236,-0.00057,0.000369,-0.001569,0.002889,0.000078,-0.002789,0.001036,-0.000174,-0.001986,0.000053,0.000544,0.028711
