Wavelength (nm),Blank1,F542,F543,F546,F547,F560,F561,F552,F553,F558,F559,F572,F573,F574,F575,F580,F581,F599,F597
750,0.002264,0.001047,0.00129,0.000032,-0.001299,0.002296,-0.000254,-0.000668,0.000137,0.0026,-0.000011,0.003758,0.001661,-0.000038,-0.000522,0.000041,0.000579,0.000945,0.003252
749.5,-0.002213,-0.000295,-0.000501,0.000101,0.00036,-0.000529,0.000839,-0.00123,-0.004312,0.001223,0.000415,0.000743,0.001223,0.000227,-0.002978,-0.002347,-0.002186,-0.001607,0.001322
749,0.004187,0.002366,0.001485,-0.000203,-0.00004,0.001195,-0.000073,-0.003486,-0.002064,0.000505,0.000735,-0.001441,-0.002031,0.000791,0.000659,0.002458,-0.001221,-0.000224,0.003161
748.5,-0.001352,-0.001444,-0.00023,0.001821,0.000438,-0.000136,-0.000985,-0.004345,-0.003953,0.000731,-0.000549,-0.000309,-0.001723,0.002223,0.000813,-0.000809,-0.001944,-0.002506,-0.000175
748,0.001401,0.002202,0.000747,-0.000407,0.002552,0.000892,0.002523,0.000287,0.000834,-0.000416,-0.003676,-0.000497,-0.003213,-0.00098,-0.001717,0.000067,0.00315,0.000448,0.000182
747.5,0.000577,0.000777,-0.002876,-0.000024,-0.00039,0.002922,0.002088,-0.000037,0.002059,-0.002554,-0.001556,0.000257,0.000524,-0.000097,0.000177,0.001503,0.000982,0.000315,0.002081
747,-0.001543,-0.002823,-0.003551,0.003357,0.002884,0.001489,0.002932,-0.000307,0.000435,0.002953,0.002481,-0.000273,-0.00332,0.00154,-0.000122,-0.00155,-0.00336,0.000036,0.000045
746.5,0.000388,0.002673,0.000993,-0.002006,-0.001595,-0.000306,-0.000762,0.001078,-0.000716,0.000819,-0.002856,0.002865,0.001483,0.001355,0.001756,-0.001886,-0.000453,-0.001593,-0.001149
746,0.002156,0.000989,0.00236,-0.001537,-0.000767,-0.002271,-0.003833,0.000181,0.001503,0.00078,-0.000717,0.00086,0.000876,-0.000477,-0.00158,0.001855,-0.001642,0.00098,-0.000605
745.5,0.001369,0.000485,-0.002641,-0.002292,0.001435,-0.000794,-0.001466,-0.00105,-0.002745,-0.001039,0.001928,-0.000667,-0.001742,-0.001757,-0.00072,-0.000422,0.000555,0.001654,0.002051
745,-0.003016,-0.000677,-0.000219,-0.001359,0.002966,0.000066,0.001183,0.001784,0.001146,0.000806,0.000436,-0.000371,-0.000168,0.001653,0.00127,0.001956,0.001814,-0.000159,-0.001059
744.5,0.003386,0.003791,0.002422,-0.001571,0.001096,0.00307,0.00012,-0.001697,-0.000542,0.004454,0.002139,0.001819,0.001382,0.000156,0.000566,0.002247,0.001117,-0.002524,0.003037
744,-0.00151,0.001974,0.000653,-0.0001,-0.000229,0.003198,0.002233,0.000892,0.001546,0.001539,0.002418,0.002197,-0.001437,0.002359,0.001881,0.001349,-0.003325,0.001321,0.001229
